Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover
HEI,581.80,0.43,583.70,570.00,575.00,"5,141","2,948,925.20"
HHL,366.90,3,369.00,357.10,363.30,"25,519","9,302,013.30"
HIDCL,163.00,-0.06,164.90,162.00,164.00,"19,982","3,262,324.60"
HIDCLP,99.80,-0.2,100.90,99.60,100.10,"45,900","4,582,200.00"
HLBSL,701.00,-4.74,730.00,690.10,730.00,"4,575","3,248,939.00"
HLI,385.70,-0.85,394.80,385.10,385.10,"17,401","6,765,912.50"
HPPL,257.10,0.82,265.30,250.00,260.10,"19,614","5,000,345.10"
HRL,595.00,-1,607.00,595.00,601.00,"50,314","30,181,364.60"
HURJA,282.00,-2.76,294.90,282.00,294.90,"20,482","5,832,716.60"
ICFC,492.00,-2.5,510.00,491.30,505.00,"10,026","4,990,710.40"
ICFCD83,"1,220.00",-0.81,"1,225.00","1,220.00","1,225.00",289,"353,080.00"
IGI,520.00,-0.95,528.00,518.30,528.00,"7,521","3,919,716.90"
IHL,380.00,-1.55,396.00,379.10,386.00,"12,565","4,842,784.00"
ILBS,946.00,-1.14,956.00,930.00,945.00,"4,885","4,601,056.60"
ILI,550.00,0.18,560.00,541.20,549.00,"84,484","46,823,168.70"
JALPA,"1,206.20",-0.26,"1,251.50","1,203.10","1,221.00",661,"808,579.00"
JBBL,280.00,-1.75,286.00,279.00,285.10,"29,235","8,213,765.40"
JBLB,"1,291.00",0.08,"1,310.00","1,290.00","1,290.00","4,389","5,691,286.00"
JFL,433.20,-3.73,457.00,431.40,450.00,"19,006","8,346,644.20"
JOSHI,359.00,1.13,369.00,350.00,362.00,"279,563","101,068,002.80"
JSLBB,"1,120.00",0,"1,155.50","1,100.00","1,142.00",839,"933,735.00"
KBL,132.80,-0.52,136.10,132.00,136.10,"83,095","11,023,825.90"
KBLD86,"1,025.00",-1.44,"1,025.00","1,025.00","1,025.00",10,"10,250.00"
